Epoch 92/1000, Train Loss: 0.0933, Train Accuracy: 0.8702, Train F1: 0.8624, Validation Loss: 0.0817, Validation Accuracy: 0.8898, Validation F1: 0.8847
Epoch 93/1000, Train Loss: 0.0926, Train Accuracy: 0.8697, Train F1: 0.8617, Validation Loss: 0.0816, Validation Accuracy: 0.8901, Validation F1: 0.8851
Epoch 94/1000, Train Loss: 0.0934, Train Accuracy: 0.8697, Train F1: 0.8619, Validation Loss: 0.0820, Validation Accuracy: 0.8889, Validation F1: 0.8837
Epoch 95/1000, Train Loss: 0.0933, Train Accuracy: 0.8680, Train F1: 0.8598, Validation Loss: 0.0815, Validation Accuracy: 0.8908, Validation F1: 0.8858
Epoch 96/1000, Train Loss: 0.0938, Train Accuracy: 0.8703, Train F1: 0.8625, Validation Loss: 0.0813, Validation Accuracy: 0.8896, Validation F1: 0.8847
Epoch 97/1000, Train Loss: 0.0935, Train Accuracy: 0.8691, Train F1: 0.8612, Validation Loss: 0.0811, Validation Accuracy: 0.8898, Validation F1: 0.8854
Epoch 98/1000, Train Loss: 0.0922, Train Accuracy: 0.8672, Train F1: 0.8591, Validation Loss: 0.0810, Validation Accuracy: 0.8898, Validation F1: 0.8853
Epoch 99/1000, Train Loss: 0.0921, Train Accuracy: 0.8717, Train F1: 0.8640, Validation Loss: 0.0809, Validation Accuracy: 0.8898, Validation F1: 0.8850
Epoch 100/1000, Train Loss: 0.0924, Train Accuracy: 0.8703, Train F1: 0.8626, Validation Loss: 0.0810, Validation Accuracy: 0.8912, Validation F1: 0.8865
Epoch 101/1000, Train Loss: 0.0934, Train Accuracy: 0.8688, Train F1: 0.8609, Validation Loss: 0.0809, Validation Accuracy: 0.8903, Validation F1: 0.8857
Epoch 102/1000, Train Loss: 0.0925, Train Accuracy: 0.8706, Train F1: 0.8626, Validation Loss: 0.0806, Validation Accuracy: 0.8894, Validation F1: 0.8846
Epoch 103/1000, Train Loss: 0.0919, Train Accuracy: 0.8714, Train F1: 0.8637, Validation Loss: 0.0806, Validation Accuracy: 0.8917, Validation F1: 0.8866
Epoch 104/1000, Train Loss: 0.0926, Train Accuracy: 0.8725, Train F1: 0.8654, Validation Loss: 0.0805, Validation Accuracy: 0.8896, Validation F1: 0.8849
Epoch 105/1000, Train Loss: 0.0913, Train Accuracy: 0.8720, Train F1: 0.8646, Validation Loss: 0.0806, Validation Accuracy: 0.8894, Validation F1: 0.8847
Epoch 106/1000, Train Loss: 0.0924, Train Accuracy: 0.8707, Train F1: 0.8633, Validation Loss: 0.0801, Validation Accuracy: 0.8908, Validation F1: 0.8861
Epoch 107/1000, Train Loss: 0.0909, Train Accuracy: 0.8715, Train F1: 0.8640, Validation Loss: 0.0805, Validation Accuracy: 0.8894, Validation F1: 0.8851
Epoch 108/1000, Train Loss: 0.0908, Train Accuracy: 0.8741, Train F1: 0.8669, Validation Loss: 0.0804, Validation Accuracy: 0.8898, Validation F1: 0.8852
Epoch 109/1000, Train Loss: 0.0913, Train Accuracy: 0.8710, Train F1: 0.8632, Validation Loss: 0.0801, Validation Accuracy: 0.8903, Validation F1: 0.8856
Epoch 110/1000, Train Loss: 0.0924, Train Accuracy: 0.8713, Train F1: 0.8637, Validation Loss: 0.0804, Validation Accuracy: 0.8903, Validation F1: 0.8858
Epoch 111/1000, Train Loss: 0.0922, Train Accuracy: 0.8709, Train F1: 0.8635, Validation Loss: 0.0798, Validation Accuracy: 0.8915, Validation F1: 0.8868
Epoch 112/1000, Train Loss: 0.0904, Train Accuracy: 0.8727, Train F1: 0.8648, Validation Loss: 0.0798, Validation Accuracy: 0.8917, Validation F1: 0.8870
