OID_,Id,Shape_Length,Shape_Area,sum_Total_True_ton,sum_Total_Pred_ton,Point_Count,Error
2829,0,800.000000000000000,40000.000000000000000,928.077309278153962,1007.439215621800940,7,8.551217183121695
2830,0,800.000000000000000,40000.000000000000000,387.280303883676027,434.322905616232219,4,12.146913039679387
2831,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2832,0,800.000000000000000,40000.000000000000000,1152.070475383189887,1213.130231466467876,10,5.300001813080829
2833,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2834,0,800.000000000000000,40000.000000000000000,0.000000000000000,48.332564666471796,2,
2835,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2836,0,800.000000000000000,40000.000000000000000,1429.959440669238120,1392.957913302455381,14,2.587592788608437
2837,0,800.000000000000000,40000.000000000000000,1177.557249730212106,1271.869919426527986,8,8.009179147589103
2838,0,800.000000000000000,40000.000000000000000,1015.721444104019952,1476.078960267713001,10,45.323205376428767
2839,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2840,0,800.000000000000000,40000.000000000000000,1010.962020255317952,1067.591975143800028,12,5.601590737719326
2841,0,800.000000000000000,40000.000000000000000,183.965189300009996,251.927132980448278,2,36.942828118207785
2842,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2843,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2844,0,800.000000000000000,40000.000000000000000,972.182939965739934,864.622349745405018,5,11.063822023468688
2845,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2846,0,800.000000000000000,40000.000000000000000,587.557422919764008,541.988403178933368,5,7.755670843946342
2847,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2848,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2849,0,800.000000000000000,40000.000000000000000,2256.675003518507765,2229.556655325097836,16,1.201694889655276
2850,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2851,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2852,0,800.000000000000000,40000.000000000000000,2152.288796580116014,1855.018914692913768,11,13.811802689283606
2853,0,146.739720972438050,23.854575064485168,0.000000000000000,0.000000000000000,0,
2854,0,800.000000000000000,40000.000000000000000,0.000000000000000,7.551620973063520,1,
2855,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2856,0,800.000000000000000,40000.000000000000000,2022.098038539336130,2332.318277458026841,16,15.341503379469104
2857,0,750.872378697028125,35933.942858972259273,0.000000000000000,0.000000000000000,0,
2858,0,800.000000000000000,40000.000000000000000,1723.593806508347825,1286.665374219866635,6,25.349849288076161
2859,0,800.000000000000000,40000.000000000000000,1166.619527958888057,1186.334346936415386,9,1.689909906790287
2860,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2861,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2862,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2863,0,800.000000000000000,40000.000000000000000,1672.303324803984196,1699.563732003551195,10,1.630111403549489
2864,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2865,0,407.043320910662601,704.075992657029360,0.000000000000000,0.000000000000000,0,
2866,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2867,0,800.000000000000000,40000.000000000000000,0.000000000000000,19.237699137952202,1,
2868,0,800.000000000000000,40000.000000000000000,0.000000000000000,45.963336801113101,1,
2869,0,800.000000000000000,40000.000000000000000,375.551973866232004,475.415622673832445,4,26.591166005473028
2870,0,800.000000000000000,40000.000000000000000,657.643795435044012,908.572002287487066,6,38.155641183605972
2871,0,800.000000000000000,40000.000000000000000,476.799716050919983,374.543059062820817,3,21.446459287987206
2872,0,800.000000000000000,40000.000000000000000,0.000000000000000,19.507631115627099,1,
2873,0,800.000000000000000,40000.000000000000000,1470.327142191768189,1488.272377962255860,9,1.220492722710491
2874,0,800.000000000000000,40000.000000000000000,400.763316645288000,448.780091441836930,4,11.981329827911406
2875,0,800.000000000000000,40000.000000000000000,2705.015404669283726,1893.317871096832732,10,30.007131647802552
2876,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
